Run,Troupe,Day,Block,Trial,CRturn_W1,CRturn_W2,CRturn_W3,CRturn_W4,CRturn_W5,CRturn_W6,CRcon_W1,CRcon_W2,CRcon_W3,CRcon_W4,CRcon_W5,CRcon_W6,UCRturn_W1,UCRturn_W2,UCRturn_W3,UCRturn_W4,UCRturn_W5,UCRturn_W6,UCRcon_W1,UCRcon_W2,UCRcon_W3,UCRcon_W4,UCRcon_W5,UCRcon_W6,Notes
2025_07_15_10_09_29_trial_1_TC,TC-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_15_14_18_26_trial_1_TC,TC-1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_16_10_04_14_trial_1_TC,TC-1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_16_14_13_01_trial_1_TC,TC-1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_17_10_16_11_trial_1_TC,TC-1,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_17_14_48_06_trial_1_TC,TC-1,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_18_10_22_17_trial_1_TC,TC-1,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_18_14_22_00_trial_1_TC,TC-1,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_22_03_trial_1_TC,TC-2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_13_55_19_trial_1_TC,TC-2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_10_17_02_trial_1_TC,TC-2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_45_13_trial_1_TC,TC-2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_41_11_trial_1_TC,TC-2,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_23_01_trial_1_TC,TC-2,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_09_57_03_trial_1_TC,TC-2,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_17_03_trial_1_TC,TC-2,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_32_00_trial_1_TC,TC-3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_14_08_07_trial_1_TC,TC-3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_10_33_39_trial_1_TC,TC-3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_55_13_trial_1_TC,TC-3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_53_00_trial_1_TC,TC-3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_40_54_trial_1_TC,TC-3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_10_08_20_trial_1_TC,TC-3,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_33_13_trial_1_TC,TC-3,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_41_04_trial_1_TC,TC-4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_14_19_02_trial_1_TC,TC-4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_12_09_36_trial_1_TC,TC-4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_15_09_06_trial_1_TC,TC-4,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_11_12_19_trial_1_TC,TC-4,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_51_01_trial_1_TC,TC-4,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_10_19_05_trial_1_TC,TC-4,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_45_36_trial_1_TC,TC-4,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_10_33_trial_1_TC,TC-5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_13_46_05_trial_1_TC,TC-5,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_10_05_58_trial_1_TC,TC-5,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_28_11_trial_1_TC,TC-5,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_22_50_trial_1_TC,TC-5,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_11_02_trial_1_TC,TC-5,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_09_47_24_trial_1_TC,TC-5,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_07_09_trial_1_TC,TC-5,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_10_23_00_trial_1_TP,TP-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_15_06_14_trial_1_TP,TP-1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_10_18_16_trial_1_TP,TP-1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_14_23_27_trial_1_TP,TP-1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_10_11_39_trial_1_TP,TP-1,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_14_20_24_trial_1_TP,TP-1,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_10_16_22_trial_1_TP,TP-1,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_13_34_06_trial_1_TP,TP-1,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-1,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
(No footage),TP-2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_14_48_45_trial_1_TP,TP-2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_10_40_29_trial_1_TP,TP-2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_14_39_26_trial_1_TP,TP-2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_10_24_57_trial_1_TP,TP-2,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_14_34_09_trial_1_TP,TP-2,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_10_27_01_trial_1_TP,TP-2,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_13_43_41_trial_1_TP,TP-2,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-2,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_10_25_19_trial_1_TC,TC-6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_14_13_15_trial_1_TC,TC-6,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_10_09_28_trial_1_TC,TC-6,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_14_16_21_trial_1_TC,TC-6,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_09_59_15_trial_1_TC,TC-6,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_14_12_17_trial_1_TC,TC-6,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_10_05_03_trial_1_TC,TC-6,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_14_18_23_trial_1_TC,TC-6,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-6,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_10_35_03_trial_1_TC,TC-7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_14_25_09_trial_1_TC,TC-7,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_10_20_58_trial_1_TC,TC-7,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_14_30_16_trial_1_TC,TC-7,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_10_10_37_trial_1_TC,TC-7,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_14_28_16_trial_1_TC,TC-7,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_10_18_17_trial_1_TC,TC-7,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_14_30_05_trial_1_TC,TC-7,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_10_47_52_trial_1_TP,TP-3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_14_35_32_trial_1_TP,TP-3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_10_37_01_trial_1_TP,TP-3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_14_43_14_trial_1_TP,TP-3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_10_24_06_trial_1_TP,TP-3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_14_48_01_trial_1_TP,TP-3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_10_34_57_trial_1_TP,TP-3,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_14_45_34_trial_1_TP,TP-3,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-3,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_11_00_58_trial_1_TP,TP-4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_14_14_49_36_trial_1_TP,TP-4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_10_52_34_trial_1_TP,TP-4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_14_57_00_trial_1_TP,TP-4,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_10_37_16_trial_1_TP,TP-4,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_15_00_56_trial_1_TP,TP-4,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_10_48_37_trial_1_TP,TP-4,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_14_54_47_trial_1_TP,TP-4,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TP-4,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_11_30_40_trial_1_TC,TC-MI-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_15_21_23_trial_1_TC,TC-MI-1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_10_54_13_trial_1_TC,TC-MI-1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_14_52_34_trial_1_TC,TC-MI-1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_10_38_29_trial_1_TC,TC-MI-1,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_14_47_35_trial_1_TC,TC-MI-1,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_10_41_07_trial_1_TC,TC-MI-1,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_13_53_26_trial_1_TC,TC-MI-1,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-MI-1,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,