Type,Event,Reference,Test,Precision,Recall,F1,Threshold
Macro,Turns,Scorer_1,Scorer_2,0.7454545454545455,0.5404896421845574,0.6266375545851528,10
Micro,Turns,Scorer_1,Scorer_2,0.6963112831339433,0.5809808144783514,0.6130846712127501,10
Macro,Turns,Scorer_1,Scorer_3,0.6317991631799164,0.2843691148775895,0.3922077922077923,10
Micro,Turns,Scorer_1,Scorer_3,0.579064039,0.410142061,0.45640506182378104,10
Macro,Turns,Scorer_2,Scorer_1,0.5404896421845574,0.7454545454545455,0.6266375545851528,10
Micro,Turns,Scorer_2,Scorer_1,0.5809808144783514,0.6963112831339433,0.6130846712127501,10
Macro,Turns,Scorer_2,Scorer_3,0.6401673640167364,0.3974025974025974,0.4903846153846153,10
Micro,Turns,Scorer_2,Scorer_3,0.6472085385878489,0.5521229181327703,0.572503085,10
Macro,Turns,Scorer_3,Scorer_1,0.2843691148775895,0.6317991631799164,0.3922077922077923,10
Micro,Turns,Scorer_3,Scorer_1,0.410142061,0.579064039,0.45640506182378104,10
Macro,Turns,Scorer_3,Scorer_2,0.3974025974025974,0.6401673640167364,0.4903846153846153,10
Micro,Turns,Scorer_3,Scorer_2,0.5521229181327703,0.6472085385878489,0.572503085,10
Macro,Contractions,Scorer_1,Scorer_2,0.6020942408376964,0.8273381294964028,0.696969697,15
Micro,Contractions,Scorer_1,Scorer_2,0.7297560403471733,0.7594417077175697,0.7352219756160643,15
Macro,Contractions,Scorer_1,Scorer_3,0.47337278106508873,0.5755395683453237,0.5194805194805195,15
Micro,Contractions,Scorer_1,Scorer_3,0.6879310344827585,0.7146962233169128,0.685245133,15
Macro,Contractions,Scorer_2,Scorer_1,0.8273381294964028,0.6020942408376964,0.696969697,15
Micro,Contractions,Scorer_2,Scorer_1,0.7594417077175697,0.7297560403471733,0.7352219756160643,15
Macro,Contractions,Scorer_2,Scorer_3,0.5562130177514792,0.49214659685863876,0.5222222222222221,15
Micro,Contractions,Scorer_2,Scorer_3,0.6580225193525686,0.6758620689655174,0.6503870513722729,15
Macro,Contractions,Scorer_3,Scorer_1,0.5755395683453237,0.47337278106508873,0.5194805194805195,15
Micro,Contractions,Scorer_3,Scorer_1,0.7146962233169128,0.6879310344827585,0.685245133,15
Macro,Contractions,Scorer_3,Scorer_2,0.49214659685863876,0.5562130177514792,0.5222222222222221,15
Micro,Contractions,Scorer_3,Scorer_2,0.6758620689655174,0.6580225193525686,0.6503870513722729,15