Run,group_day,Trough,BlockNum,BlockType,Trial,W1,W2,W3,W4,W5,W6,Well 1 aligned,Well 2 aligned,Well 3 aligned,Well 4 aligned,Well 5 aligned,Well 6 aligned,Well 1 quiescent,Well 2 quiescent,Well 3 quiescent,Well 4 quiescent,Well 5 quiescent,Well 6 quiescent,Scored by,Notes
2025_02_06_09_50_08_trial_1_LO,R1_1,Milled trough + attached electrodes,1,LO,1,0,0,0,0,1,1,,,,,,,1,0,0,0,0,0,MCS,
,,20 trials ,1,LO,2,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,20s ITI,1,LO,3,0,0,0,1,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,All CRs are turns or contractions,1,LO,4,0,0,0,1,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,CC High,1,LO,5,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,6,0,0,0,0,1,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,7,0,0,0,1,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,8,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,9,0,0,1,1,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,10,0,0,0,1,0,1,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,11,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,12,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,13,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,14,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,15,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,16,0,0,0,0,0,1,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,17,0,0,1,0,0,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,18,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,19,0,0,0,0,0,0,,,,,,,1,0,1,0,0,1,MCS,
,,,1,LO,20,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,21,0,0,1,0,1,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,22,1,0,0,0,1,0,,,,,,,0,0,0,0,0,1,MCS,
,,,1,LO,23,0,0,1,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,24,0,0,0,0,0,0,,,,,,,0,0,0,0,0,1,MCS,
,,,1,LO,25,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
2025_02_06_10_10_21_trial_1_LO,R1_1,Milled trough + attached electrodes,2,LO,1,0,0,0,0,1,1,,,,,,,0,0,0,0,0,0,MCS,
,,20 trials ,2,LO,2,0,0,0,0,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,20s ITI,2,LO,3,0,0,0,0,1,1,,,,,,,0,0,0,0,0,0,MCS,
,,All CRs are turns or contractions,2,LO,4,0,0,0,0,1,1,,,,,,,0,0,0,0,0,0,MCS,
,,CC High,2,LO,5,1,0,0,0,0,0,,,,,,,0,0,0,0,1,0,MCS,
,,,2,LO,6,0,0,0,0,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,7,0,0,0,0,1,0,,,,,,,0,0,0,1,0,1,MCS,
,,,2,LO,8,1,0,1,1,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,9,0,0,0,0,0,1,,,,,,,0,0,0,0,1,0,MCS,
,,,2,LO,10,0,0,0,1,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,11,0,0,0,0,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,12,0,0,0,0,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,13,0,0,0,0,1,0,,,,,,,0,0,0,0,0,1,MCS,
,,,2,LO,14,0,0,0,0,0,1,,,,,,,0,0,0,0,1,0,MCS,
,,,2,LO,15,0,0,0,0,1,1,,,,,,,0,0,0,0,0,0,MCS,
,,,2,LO,16,0,0,0,0,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,17,0,0,0,0,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,18,0,0,0,0,0,0,,,,,,,0,0,1,0,1,1,MCS,
,,,2,LO,19,0,0,0,0,0,1,,,,,,,0,0,1,0,1,0,MCS,
,,,2,LO,20,0,0,0,1,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,21,1,0,0,0,0,0,,,,,,,0,0,1,0,1,1,MCS,
,,,2,LO,22,0,0,1,0,1,1,,,,,,,0,0,0,0,0,0,MCS,
,,,2,LO,23,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,2,LO,24,0,0,1,0,0,0,,,,,,,0,0,0,0,0,1,MCS,
,,,2,LO,25,0,0,0,0,0,0,,,,,,,0,0,0,0,1,0,MCS,
2025_02_06_10_31_37_trial_1_CC,R1_1,Milled trough + attached electrodes,3,CC,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,MCS,
,,20 trials ,3,CC,2,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,MCS,
,,20s ITI,3,CC,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,MCS,
,,All CRs are turns or contractions,3,CC,4,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,MCS,
,,CC High,3,CC,5,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,MCS,
,,,3,CC,6,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,MCS,
,,,3,CC,7,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,MCS,
,,,3,CC,8,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,MCS,
,,,3,CC,9,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,MCS,
,,,3,CC,10,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,MCS,
,,,3,CC,11,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,MCS,
,,,3,CC,12,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,MCS,
,,,3,CC,13,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,MCS,
,,,3,CC,14,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,MCS,
,,,3,CC,15,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,MCS,
,,,3,CC,16,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,MCS,
,,,3,CC,17,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,MCS,
,,,3,CC,18,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,MCS,
,,,3,CC,19,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,MCS,
,,,3,CC,20,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,MCS,
,,,3,CC,21,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,MCS,
,,,3,CC,22,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,,
,,,3,CC,23,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,,
,,,3,CC,24,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,,
,,,3,CC,25,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,,
2025_02_06_10_51_47_trial_1_CC,R1_1,Milled trough + attached electrodes,4,CC,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,MCS,
,,20 trials ,4,CC,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,MCS,
,,20s ITI,4,CC,3,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,MCS,
,,All CRs are turns or contractions,4,CC,4,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,MCS,
,,CC High,4,CC,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,MCS,
,,,4,CC,6,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,MCS,
,,,4,CC,7,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,MCS,
,,,4,CC,8,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,MCS,
,,,4,CC,9,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,MCS,
,,,4,CC,10,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,MCS,
,,,4,CC,11,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,MCS,
,,,4,CC,12,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,MCS,
,,,4,CC,13,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,MCS,
,,,4,CC,14,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,MCS,
,,,4,CC,15,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,MCS,
,,,4,CC,16,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,MCS,
,,,4,CC,17,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,MCS,
,,,4,CC,18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,MCS,
,,,4,CC,19,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,MCS,
,,,4,CC,20,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,MCS,
,,,4,CC,21,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,MCS,
,,,4,CC,22,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,MCS,
,,,4,CC,23,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,MCS,
,,,4,CC,24,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,MCS,
,,,4,CC,25,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,MCS,
2025_02_06_12_02_28_trial_1_LO,R2_1,Milled trough + attached electrodes,1,LO,1,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,MCS,
,,20 trials ,1,LO,2,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,MCS,
,,20s ITI,1,LO,3,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,MCS,
,,All CRs are turns or contractions,1,LO,4,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,PC High,1,LO,5,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,MCS,
,,,1,LO,6,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,MCS,
,,,1,LO,7,0,1,0,0,1,1,,,,,,,0,0,0,0,0,0,MCS,
,,,1,LO,8,1,1,0,0,0,0,,,,,,,0,0,0,0,0,0,MCS,
,,,1,LO,9,0,0,0,1,0,0,,,,,,,0,0,0,0,1,0,MCS,
,,,1,LO,10,0,0,0,0,0,0,,,,,,,0,0,0,0,1,0,MCS,
,,,1,LO,11,0,1,0,1,0,0,,,,,,,1,0,0,0,1,0,MCS,
,,,1,LO,12,0,0,0,0,0,0,,,,,,,1,1,0,0,1,0,MCS,
,,,1,LO,13,0,0,0,0,0,0,,,,,,,1,0,0,0,1,0,MCS,
,,,1,LO,14,0,0,0,0,0,0,,,,,,,1,0,0,0,1,0,MCS,
,,,1,LO,15,0,0,0,0,0,0,,,,,,,1,0,0,0,1,0,MCS,
,,,1,LO,16,0,0,0,0,0,0,,,,,,,1,0,0,0,1,0,MCS,
,,,1,LO,17,0,0,0,0,1,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,18,0,1,1,0,0,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,19,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,20,0,0,0,1,0,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,21,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,22,0,0,0,1,1,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,23,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,24,0,0,0,0,1,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,25,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0,MCS,
2025_02_06_12_22_35_trial_1_LO,R2_1,Milled trough + attached electrodes,2,LO,1,0,0,0,0,0,0,,,,,,,1,0,0,0,1,0,MCS,
,,20 trials ,2,LO,2,0,0,0,0,0,0,,,,,,,1,0,1,0,1,0,MCS,
,,20s ITI,2,LO,3,0,0,0,0,0,0,,,,,,,1,0,1,0,1,0,MCS,
,,All CRs are turns or contractions,2,LO,4,0,0,0,0,0,0,,,,,,,1,0,1,0,1,0,MCS,
,,PC High,2,LO,5,0,0,0,0,0,0,,,,,,,1,0,1,0,1,0,MCS,
,,,2,LO,6,0,0,0,0,0,0,,,,,,,1,0,1,0,1,0,MCS,
,,,2,LO,7,0,0,1,0,0,0,,,,,,,1,1,0,0,1,0,MCS,
,,,2,LO,8,0,0,0,0,0,0,,,,,,,1,0,1,0,1,0,MCS,
,,,2,LO,9,0,1,0,0,0,0,,,,,,,1,0,1,0,1,0,MCS,
,,,2,LO,10,0,0,0,0,0,0,,,,,,,1,0,0,0,1,0,MCS,
,,,2,LO,11,0,0,0,0,0,0,,,,,,,1,0,0,0,1,0,MCS,
,,,2,LO,12,0,0,0,0,0,0,,,,,,,1,1,0,0,1,0,MCS,
,,,2,LO,13,0,0,0,1,0,0,,,,,,,1,1,0,0,1,0,MCS,
,,,2,LO,14,0,0,0,0,0,0,,,,,,,1,1,0,0,1,0,MCS,
,,,2,LO,15,0,0,0,0,0,0,,,,,,,1,1,0,0,1,0,MCS,
,,,2,LO,16,0,0,0,0,0,0,,,,,,,1,1,0,0,1,0,MCS,
,,,2,LO,17,0,0,1,0,0,0,,,,,,,1,1,0,0,1,0,MCS,
,,,2,LO,18,0,0,0,0,0,0,,,,,,,1,1,0,0,1,0,MCS,
,,,2,LO,19,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,MCS,
,,,2,LO,20,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,MCS,
,,,2,LO,21,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,MCS,
,,,2,LO,22,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,MCS,
,,,2,LO,23,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,MCS,
,,,2,LO,24,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,MCS,
,,,2,LO,25,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,MCS,
2025_02_06_12_42_27_trial_1_PC,R2_1,Milled trough + attached electrodes,3,PC,1,0,0,0,0,0,0,,,,,,,0,0,0,0,1,0,ZK,
,,20 trials ,3,PC,2,0,0,0,0,0,0,,,,,,,0,0,0,0,1,0,ZK,
,,20s ITI,3,PC,3,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,ZK,
,,0 = no response,3,PC,4,0,0,0,0,1,1,,,,,,,0,0,0,0,0,0,ZK,
,,1 = head turn,3,PC,5,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0,ZK,
,,2 = contraction,3,PC,6,0,0,0,0,1,0,,,,,,,0,0,0,0,0,0,ZK,
,,3 = contraction + turn ,3,PC,7,1,1,0,1,0,0,,,,,,,0,0,0,0,0,0,ZK,
,,X = quiescent,3,PC,8,0,0,0,0,1,0,,,,,,,0,0,0,0,0,0,ZK,"This and last few turns seem more like coincidence than real, but I did count them because they technically fit criteria"
,,"H = hidden, occluded",3,PC,9,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,ZK,
,,,3,PC,10,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,ZK,
,,,3,PC,11,0,0,1,0,0,1,,,,,,,0,1,0,0,1,0,ZK,
,,,3,PC,12,0,0,0,0,0,0,,,,,,,1,1,0,0,0,0,ZK,Light stimuli ended here.
,,,3,PC,13,,,,,,,,,,,,,,,,,,,,
,,,3,PC,14,,,,,,,,,,,,,,,,,,,,
,,,3,PC,15,,,,,,,,,,,,,,,,,,,,
,,,3,PC,16,,,,,,,,,,,,,,,,,,,,
,,,3,PC,17,,,,,,,,,,,,,,,,,,,,
,,,3,PC,18,,,,,,,,,,,,,,,,,,,,
,,,3,PC,19,,,,,,,,,,,,,,,,,,,,
,,,3,PC,20,,,,,,,,,,,,,,,,,,,,
,,,3,PC,21,,,,,,,,,,,,,,,,,,,,
,,,3,PC,22,,,,,,,,,,,,,,,,,,,,
,,,3,PC,23,,,,,,,,,,,,,,,,,,,,
,,,3,PC,24,,,,,,,,,,,,,,,,,,,,
,,,3,PC,25,,,,,,,,,,,,,,,,,,,,
2025_02_06_13_01_53_trial_1_PC,R2_1,Milled trough + attached electrodes,4,PC,1,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,20 trials ,4,PC,2,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,ZK,
,,20s ITI,4,PC,3,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,ZK,
,,0 = no response,4,PC,4,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,ZK,
,,1 = head turn,4,PC,5,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,2 = contraction,4,PC,6,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,3 = contraction + turn ,4,PC,7,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,X = quiescent,4,PC,8,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,"H = hidden, occluded",4,PC,9,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,,4,PC,10,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,,4,PC,11,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,,4,PC,12,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,,4,PC,13,,,,,,,,,,,,,,,,,,,,
,,,4,PC,14,,,,,,,,,,,,,,,,,,,,
,,,4,PC,15,,,,,,,,,,,,,,,,,,,,
,,,4,PC,16,,,,,,,,,,,,,,,,,,,,
,,,4,PC,17,,,,,,,,,,,,,,,,,,,,
,,,4,PC,18,,,,,,,,,,,,,,,,,,,,
,,,4,PC,19,,,,,,,,,,,,,,,,,,,,
,,,4,PC,20,,,,,,,,,,,,,,,,,,,,
,,,4,PC,21,,,,,,,,,,,,,,,,,,,,
,,,4,PC,22,,,,,,,,,,,,,,,,,,,,
,,,4,PC,23,,,,,,,,,,,,,,,,,,,,
,,,4,PC,24,,,,,,,,,,,,,,,,,,,,
,,,4,PC,25,,,,,,,,,,,,,,,,,,,,
2025_02_06_14_05_11_trial_1_LO,R3_1,Milled trough + attached electrodes,1,LO,1,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0,MCS,
,,20 trials ,1,LO,2,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,20s ITI,1,LO,3,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,All CRs are turns or contractions,1,LO,4,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,CC Med,1,LO,5,0,0,0,0,1,1,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,6,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,7,0,0,0,0,1,0,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,8,0,1,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,9,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,10,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,11,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,12,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,13,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,14,0,1,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,15,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,,1,LO,16,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0,MCS,
,,,1,LO,17,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0,MCS,
,,,1,LO,18,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0,MCS,
,,,1,LO,19,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0,MCS,
,,,1,LO,20,0,1,0,0,0,0,,,,,,,0,0,1,1,0,0,MCS,
,,,1,LO,21,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0,MCS,
,,,1,LO,22,1,0,0,0,0,0,,,,,,,0,1,1,1,0,0,MCS,
,,,1,LO,23,0,0,0,0,0,0,,,,,,,0,1,1,1,0,0,MCS,
,,,1,LO,24,0,1,0,0,0,0,,,,,,,0,0,1,1,0,0,MCS,
,,,1,LO,25,0,0,0,0,0,0,,,,,,,0,1,1,1,0,0,MCS,
2025_02_06_14_29_30_trial_1_LO,R3_1,Milled trough + attached electrodes,2,LO,1,0,0,0,0,0,0,,,,,,,0,1,1,1,0,0,MCS,
,,20 trials ,2,LO,2,0,0,0,0,0,0,,,,,,,0,1,1,1,0,0,MCS,
,,20s ITI,2,LO,3,0,0,0,0,0,0,,,,,,,0,1,1,1,0,0,MCS,
