Run,Troupe,Day,BlockNum,Trial ,W1,W2,W3,W4,W5,W6,Well1 Quiescent,Well2 Quiescent,Well3 Quiescent,Well4 Quiescent,Well5 Quiescent,Well6 Quiescent,Notes
2025_03_28_14_32_31_trial_1_CC,GD_test_1,1,1,1,0,0,0,0,0,0,,,,,,,First attempt at using CS uv light UCS shock in GD
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,1,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,1,0,0,1,,,,,,,
,,,,6,0,1,0,0,0,1,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,1,0,1,0,0,0,,,,,,1,
,,,,9,1,0,0,0,0,1,,,,,,,
,,,,10,0,0,0,1,0,0,,,,,,,
,,,,11,1,0,0,0,0,0,,,,,,,
,,,,12,0,1,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,1,,,,,1,
,,,,14,0,0,0,0,0,0,,,,,,1,
,,,,15,0,0,0,0,0,0,1,1,,,,1,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,1,,,,,,,
,,,,19,0,0,0,0,0,0,1,1,,,1,,
,,,,20,0,0,0,0,0,0,1,1,,,1,,
,,,,21,0,0,0,0,0,0,1,1,,,1,1,
,,,,22,0,0,0,0,0,0,1,1,,,1,1,
,,,,23,0,0,0,0,0,0,1,1,,,1,1,
,,,,24,0,0,0,1,0,0,1,1,,,1,1,
,,,,25,0,0,0,1,0,0,1,1,,,1,1,
2025_03_28_16_18_08_trial_1_CC,GD_test_1,1,2,1,0,0,0,0,0,0,,,,,,,
,,,,2,0,0,0,0,1,0,,,,,,1,
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,1,1,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,1,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,0,0,0,0,1,0,,,,1,,1,
,,,,9,0,0,1,0,0,0,,1,,,,1,
,,,,10,0,1,0,0,1,0,1,,,,,,
,,,,11,0,0,1,0,0,0,1,,,,,,
,,,,12,0,0,0,0,1,0,1,1,,1,,,
,,,,13,0,0,0,0,1,0,1,1,,1,,,
,,,,14,0,0,0,1,1,0,1,1,,,,1,
,,,,15,0,0,1,1,0,0,1,1,,,,1,
,,,,16,0,0,0,0,1,0,1,1,1,1,,1,
,,,,17,0,0,0,0,1,0,1,1,1,1,,1,
,,,,18,0,0,0,0,0,0,1,1,1,1,,1,
,,,,19,0,0,0,0,0,0,1,1,1,1,,1,
,,,,20,0,0,0,0,0,0,1,1,1,1,,1,
,,,,21,0,0,0,0,0,0,1,1,1,1,,1,
,,,,22,0,0,0,0,0,0,1,1,1,1,1,1,
,,,,23,0,0,0,0,0,0,1,1,1,1,1,1,
,,,,24,0,0,0,0,0,0,1,1,1,1,1,1,
,,,,25,0,0,0,0,0,0,1,1,1,1,1,1,
2025_03_31_08_21_52_trial_1_CC,GD_test_1,2,3,1,0,0,0,0,0,0,,,,,,,
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,0,0,0,0,0,1,,,,,,,
,,,,8,0,0,0,0,0,1,1,1,1,,,,
,,,,9,0,0,0,0,0,0,1,,,,,,
,,,,10,0,0,1,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,1,,,,,,
,,,,14,0,0,0,0,0,0,1,,,,,,
,,,,15,0,0,0,0,0,0,,1,,,,,
,,,,16,0,0,1,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,1,1,,,,,
,,,,18,0,0,0,0,0,0,1,1,,,,1,
,,,,19,0,0,0,0,0,0,1,1,,,,1,
,,,,20,0,0,0,0,0,1,1,1,,,,,
,,,,21,0,0,0,0,0,0,1,,,,,1,
,,,,22,0,0,0,0,0,0,1,,,,,1,
,,,,23,0,0,0,0,0,0,1,,,,,,
,,,,24,0,0,0,0,0,0,1,,,1,,,
,,,,25,0,0,0,0,0,0,1,,,1,,,
2025_03_31_13_13_27_trial_1_CC,GD_test_1,2,4,1,0,0,0,0,0,0,,,,,,,
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,1,1,0,,,,,,,
,,,,4,0,0,0,0,1,1,,,,,,,
,,,,5,0,0,0,0,0,1,,,,,,,
,,,,6,0,0,1,0,0,1,,,,,,,
,,,,7,0,0,1,1,0,0,,,,,,,
,,,,8,0,0,0,1,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,1,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,1,0,0,0,1,,,,,,,
,,,,16,0,0,0,0,0,1,,,,,,,
,,,,17,0,0,0,0,1,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_01_08_07_03_trial_1_CC,GD_test_1,3,5,1,0,0,0,0,0,0,,,,,,,
,,,,2,0,0,1,0,0,0,,,,,,,
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,0,0,0,0,1,0,,,,,,,
,,,,8,0,0,0,0,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,1,0,1,0,,,,,,,
,,,,12,0,0,1,0,1,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,1,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,1,0,,,,,,,
,,,,16,0,0,0,0,1,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
NA,bum_SM_test_1,1,1,1,0,0,0,0,0,0,,,,,,,Ignore/discard
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,1,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,1,0,0,1,,,,,,,
,,,,6,0,1,0,0,0,1,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,1,0,1,0,0,0,,,,,,1,
,,,,9,1,0,0,0,0,1,,,,,,,
,,,,10,0,0,0,1,0,0,,,,,,,
,,,,11,1,0,0,0,0,0,,,,,,,
,,,,12,0,1,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,1,,,,,1,
,,,,14,0,0,0,0,0,0,,,,,,1,
,,,,15,0,0,0,0,0,0,1,1,,,,1,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,1,,,,,,,
,,,,19,0,0,0,0,0,0,1,1,,,1,,
,,,,20,0,0,0,0,0,0,1,1,,,1,,
,,,,21,0,0,0,0,0,0,1,1,,,1,1,
,,,,22,0,0,0,0,0,0,1,1,,,1,1,
,,,,23,0,0,0,0,0,0,1,1,,,1,1,
,,,,24,0,0,0,1,0,0,1,1,,,1,1,
,,,,25,0,0,0,1,0,0,1,1,,,1,1,
NA,bum_SM_test_1,1,2,1,0,0,0,0,0,0,,,,,,,
,,,,2,0,0,0,0,1,0,,,,,,1,
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,1,1,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,1,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,0,0,0,0,1,0,,,,1,,1,
,,,,9,0,0,1,0,0,0,,1,,,,1,
,,,,10,0,1,0,0,1,0,1,,,,,,
,,,,11,0,0,1,0,0,0,1,,,,,,
,,,,12,0,0,0,0,1,0,1,1,,1,,,
,,,,13,0,0,0,0,1,0,1,1,,1,,,
,,,,14,0,0,0,1,1,0,1,1,,,,1,
,,,,15,0,0,1,1,0,0,1,1,,,,1,
,,,,16,0,0,0,0,1,0,1,1,1,1,,1,
,,,,17,0,0,0,0,1,0,1,1,1,1,,1,
,,,,18,0,0,0,0,0,0,1,1,1,1,,1,
,,,,19,0,0,0,0,0,0,1,1,1,1,,1,
,,,,20,0,0,0,0,0,0,1,1,1,1,,1,
,,,,21,0,0,0,0,0,0,1,1,1,1,,1,
,,,,22,0,0,0,0,0,0,1,1,1,1,1,1,
,,,,23,0,0,0,0,0,0,1,1,1,1,1,1,
,,,,24,0,0,0,0,0,0,1,1,1,1,1,1,
,,,,25,0,0,0,0,0,0,1,1,1,1,1,1,
2025_03_31_12_00_24_trial_1_CC,SM_test_1,1,1,1,0,0,0,0,0,0,,,,,,,
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,1,1,0,,,,,,,
,,,,4,0,0,0,0,1,1,,,,,,,
,,,,5,0,0,0,0,0,1,,,,,,,
,,,,6,0,0,1,0,0,1,,,,,,,
,,,,7,0,0,1,1,0,0,,,,,,,
,,,,8,0,0,0,1,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,1,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,1,0,0,0,1,,,,,,,
,,,,16,0,0,0,0,0,1,,,,,,,
,,,,17,0,0,0,0,1,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
NA,SM_test_1,1,2,1,0,0,0,0,0,0,,,,,,,Ignore/discard
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,1,1,0,,,,,,,
,,,,4,0,0,0,0,1,1,,,,,,,
,,,,5,0,0,0,0,0,1,,,,,,,
,,,,6,0,0,1,0,0,1,,,,,,,
,,,,7,0,0,1,1,0,0,,,,,,,
,,,,8,0,0,0,1,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,1,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,1,0,0,0,1,,,,,,,
,,,,16,0,0,0,0,0,1,,,,,,,
,,,,17,0,0,0,0,1,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_01_11_49_36_trial_1_CC,GD_1_UVSHOCK,1,1,1,0,0,0,0,0,0,,,,,,,"The worms are lane hoppers. The hand-counted scores represent a group score 0-6, distributed to the W1-W6 lanes for data analysis convenience. There is not individual data for this run. Worms not visible are not counted."
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,1,0,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,0,0,0,0,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,0,0,,,,,,,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_01_13_02_28_trial_1_CC,GD_1_UVSHOCK,1,2,1,0,0,0,0,0,0,,,,,,,"The worms are lane hoppers. The hand-counted scores represent a group score 0-6, distributed to the W1-W6 lanes for data analysis convenience. There is not individual data for this run. Worms not visible are not counted. Only 4 worms appear in this video across 6 lanes."
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,0,0,0,0,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,1,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,0,0,,,,,,,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,1,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_02_10_24_52_trial_1_CC,GD_1_UVSHOCK,2,3,1,1,0,0,0,0,0,,,,,,,"The worms are lane hoppers. The hand-counted scores represent a group score 0-6, distributed to the W1-W6 lanes for data analysis convenience. There is not individual data for this run. Worms not visible are not counted. Only 4 worms appear in this video across 6 lanes."
,,,,2,0,0,0,0,0,0,,,,,,,"By trial 15, all worms quiescent."
,,,,3,1,1,0,0,0,0,,,,,,,
,,,,4,1,0,0,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,1,0,0,0,0,0,,,,,,,
,,,,8,0,0,0,0,0,0,,,,,,,
,,,,9,1,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,0,0,,,,,,,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_02_11_36_52_trial_1_CC,GD_1_UVSHOCK,2,4,1,0,0,0,0,0,0,,,,,,,"The worms are lane hoppers. The hand-counted scores represent a group score 0-6, distributed to the W1-W6 lanes for data analysis convenience. There is not individual data for this run. Worms not visible are not counted. We're back at six worms, not sure if that means the rest were hiding or what."
,,,,2,0,0,0,0,0,0,,,,,,,Universal quiescence in latter half.
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,0,0,0,0,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,0,0,,,,,,,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_03_10_27_46_trial_1_CC,GD_1_UVSHOCK,3,5,1,0,0,0,0,0,0,,,,,,,"The worms are lane hoppers. The hand-counted scores represent a group score 0-6, distributed to the W1-W6 lanes for data analysis convenience. There is not individual data for this run. Worms not visible are not counted. We're back at six worms, not sure if that means the rest were hiding or what."
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,0,0,0,0,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,0,0,,,,,,,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_03_20_11_45_trial_1_CC,GD_S_UVSHOCK,1,1,1,1,0,0,0,0,0,,,,,,,"The worms are lane hoppers. The hand-counted scores represent a group score 0-6, distributed to the W1-W6 lanes for data analysis convenience. There is not individual data for this run. Worms not visible are not counted. Six worms."
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,0,0,0,0,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,0,0,,,,,,,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_03_21_37_23_trial_1_CC,GD_S_UVSHOCK,1,2,1,1,0,0,0,0,0,,,,,,,"The worms are lane hoppers. The hand-counted scores represent a group score 0-6, distributed to the W1-W6 lanes for data analysis convenience. There is not individual data for this run. Worms not visible are not counted. Six worms."
,,,,2,0,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,So much quiescence.
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,1,0,0,0,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,0,0,,,,,,,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_04_12_04_28_trial_1_CC,GD_S_UVSHOCK,2,3,1,2,0,0,0,0,0,,,,,,,"The worms are lane hoppers. The hand-counted scores represent a group score 0-6, distributed to the W1-W6 lanes for data analysis convenience. There is not individual data for this run. Worms not visible are not counted. Six worms."
,,,,2,1,1,0,0,0,0,,,,,,,Weird vibration artifacts on first trial.
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,1,1,0,0,0,0,,,,,,,
,,,,5,1,0,0,0,0,0,,,,,,,
,,,,6,0,0,0,0,0,0,,,,,,,
,,,,7,0,0,0,0,0,0,,,,,,,
,,,,8,1,0,0,0,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,Majority of worms quiescent.
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,0,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,0,0,,,,,,,
,,,,16,0,0,0,0,0,0,,,,,,,
,,,,17,0,0,0,0,0,0,,,,,,,
,,,,18,0,0,0,0,0,0,,,,,,,
,,,,19,0,0,0,0,0,0,,,,,,,
,,,,20,0,0,0,0,0,0,,,,,,,
,,,,21,0,0,0,0,0,0,,,,,,,
,,,,22,0,0,0,0,0,0,,,,,,,
,,,,23,0,0,0,0,0,0,,,,,,,
,,,,24,0,0,0,0,0,0,,,,,,,
,,,,25,0,0,0,0,0,0,,,,,,,
2025_04_04_13_44_55_trial_1_CC,GD_S_UVSHOCK,2,4,1,0,0,0,0,0,0,,,,,,,"The worms are lane hoppers. The hand-counted scores represent a group score 0-6, distributed to the W1-W6 lanes for data analysis convenience. There is not individual data for this run. Worms not visible are not counted. Six worms."
,,,,2,1,0,0,0,0,0,,,,,,,
,,,,3,0,0,0,0,0,0,,,,,,,
,,,,4,0,0,0,0,0,0,,,,,,,
,,,,5,0,0,0,0,0,0,,,,,,,
,,,,6,1,0,0,0,0,0,,,,,,,
,,,,7,1,0,0,0,0,0,,,,,,,Most quiescent now.
,,,,8,0,0,0,0,0,0,,,,,,,
,,,,9,0,0,0,0,0,0,,,,,,,
,,,,10,0,0,0,0,0,0,,,,,,,
,,,,11,0,0,0,0,0,0,,,,,,,
,,,,12,1,0,0,0,0,0,,,,,,,
,,,,13,0,0,0,0,0,0,,,,,,,"Something odd with video around frame 1320. Seems like FPS is much less? Then many frames without indicators, like frame segmenting is wrong and getting incorrect chunks. All worms quiescent though."
,,,,14,0,0,0,0,0,0,,,,,,,
,,,,15,0,0,0,0,0,0,,,,,,,
